Name,NA,EU,JP,Other
Call of Duty: Ghosts,1.78,1.42,0.05,0.38
Resident Evil 4,2.08,0.83,0.46,0.25
Tom Clancy's The Division,1.28,1.61,0.15,0.57
Star Wars: Battlefront,1.93,1.22,0.03,0.44
Doom II: Hell on Earth,2.05,1.4,0,0.16
The Simpsons: Road Rage,2.02,1.17,0,0.42
Cooking Mama 2: Dinner With Friends,1.61,1.5,0.1,0.39
Luigi's Mansion,2.38,0.67,0.46,0.1
Star Wars: Battlefront II,2.18,1.02,0.03,0.37
WWF SmackDown!,2.01,1.35,0.06,0.16
Croc: Legend of the Gobbos,1.57,1.79,0,0.2
Grand Theft Auto: Liberty City Stories,1.56,1.4,0.07,0.5
The Getaway,1.23,1.77,0.05,0.49
Tomb Raider III: Adventures of Lara Croft,1.66,1.58,0.12,0.18
James Bond 007: Agent Under Fire,1.9,1.13,0.1,0.41
LEGO Star Wars: The Video Game,1.98,1.14,0.01,0.41
Battlefield 4,2.14,1.08,0.02,0.29
FIFA Soccer 11,0.71,2.4,0.02,0.4
Rugrats in Paris: The Movie,1.96,1.33,0,0.23
Spyro 2: Ripto's Rage!,2.14,1.21,0.01,0.17
Left 4 Dead,2.66,0.5,0.05,0.3
Mario & Sonic at the Olympic Winter Games,1.22,1.66,0.27,0.38
Resident Evil 5,2.11,0.94,0.12,0.34
Donkey Kong Country 3: Dixie Kong's Double Trouble!,1.17,0.5,1.75,0.08
Assassin's Creed: Brotherhood,2.84,0.39,0.03,0.24
Kung Fu,1.64,0.38,1.42,0.06
Batman: Arkham Asylum,2.2,0.97,0.02,0.31
Clubhouse Games,0.59,1.83,0.73,0.35
FIFA Soccer 2004,0.59,2.36,0.04,0.51
Star Wars Battlefront (2015),1.94,1.22,0.02,0.31
Battlefield: Bad Company 2,2.09,1.02,0.04,0.32
Guitar Hero: On Tour,2.11,1.01,0.01,0.35
Assassin's Creed: Unity,2.26,0.89,0,0.3
Far Cry 3,0.88,1.75,0.1,0.72
Monster Hunter 4,0,0,3.44,0
Borderlands,2.39,0.73,0.03,0.29
Tekken 4,1.55,1.27,0.33,0.29
Battlefield 4,1.34,1.54,0.17,0.38
LittleBigPlanet 2,1.82,1.07,0.06,0.47
Grand Theft Auto 2,1.13,2.07,0,0.22
Final Fantasy III,0.86,0,2.55,0.02
Spider-Man 2,1.75,1.2,0.02,0.43
F-1 Race,1.73,0.69,0.59,0.4
FIFA Soccer 2003,0.46,2.28,0.05,0.61
Crash Bash,1.56,1.47,0.19,0.17
LEGO Batman: The Videogame,2.03,1.03,0,0.32
Metal Gear Solid V: The Phantom Pain,1.08,1.35,0.48,0.47
The Legend of Zelda: Spirit Tracks,1.43,0.94,0.74,0.27
WWF War Zone,2.47,0.76,0,0.13
The Legend of Zelda: Majora's Mask,1.9,0.67,0.73,0.06
Professor Layton and the Unwound Future,0.65,1.61,0.82,0.28
Rugrats: Search For Reptar,1.63,1.53,0,0.18
Assassin's Creed IV: Black Flag,1.9,1.14,0.01,0.29
English Training: Have Fun Improving Your Skills!,0,0.99,2.32,0.02
James Bond 007: Nightfire,1.45,1.29,0.12,0.46
Ratchet & Clank,1.44,1.01,0.57,0.3
Mario Party 9,1.15,1.17,0.76,0.24
Star Wars Episode III: Revenge of the Sith,1.47,1.39,0.03,0.43
Max Payne,1.99,1.05,0.05,0.22
The Lord of the Rings: The Return of the King,1.5,1.28,0.05,0.46
Assassin's Creed Syndicate,0.8,1.92,0.06,0.5
Destiny,2.13,0.92,0,0.23
True Crime: Streets of LA,1.89,1.05,0.02,0.31
Wii Music,1.36,1.13,0.46,0.32
Gran Turismo (PSP),0.5,1.59,0.31,0.87
Monster Hunter X,0.25,0.19,2.78,0.04
Tekken,0.95,1.3,0.77,0.22
FIFA 16,0.88,2.11,0,0.23
L.A. Noire,1.27,1.33,0.12,0.51
Madden NFL 16,2.33,0.3,0,0.59
Yokai Watch 2 Ganso/Honke,0.03,0,3.18,0
007: Tomorrow Never Dies,1.72,1.33,0,0.16
Baseball,0.73,0.1,2.35,0.02
Killer Instinct,2.26,0.72,0.12,0.1
WWF SmackDown! 2: Know Your Role,1.76,1.21,0.07,0.16
Crisis Core: Final Fantasy VII,1.35,0.6,0.8,0.44
God of War: Chains of Olympus,1.48,1.01,0.04,0.66
Dragon Quest VI: Maboroshi no Daichi,0,0,3.19,0
Dance Central,2.15,0.77,0.01,0.26
Enter the Matrix,1.78,1.12,0.09,0.19
Super Mario Maker,1.18,0.87,0.93,0.2
Fallout: New Vegas,1.52,1.08,0.1,0.47
LEGO Batman: The Videogame,1.86,1.02,0,0.29
Rhythm Heaven,0.58,0.51,1.93,0.14
Ace Combat 04: Shattered Skies,2.06,0.56,0.38,0.17
Club Penguin: Elite Penguin Force,1.88,0.98,0,0.3
Animal Crossing,1.92,0.16,0.99,0.09
LEGO Batman: The Videogame,1.79,1.06,0,0.29
Sonic Rush,1.22,1.57,0.06,0.29
Resident Evil 6,0.88,0.97,0.88,0.42
Halo: The Master Chief Collection,1.89,0.99,0.03,0.24
FIFA Soccer 08,0.68,0,0,2.46
Spider-Man,1.7,1.25,0.02,0.16
Need for Speed III: Hot Pursuit,2.14,0.86,0,0.13
Star Wars Episode I Racer,2.31,0.62,0.14,0.04
Personal Trainer: Cooking,0.91,1,1.03,0.17
The Elder Scrolls IV: Oblivion,1.69,0.87,0.14,0.42
Dragon Warrior IV,0.08,0,3.03,0.01
Heavy Rain,1.29,1.27,0.06,0.5
Mass Effect 2,1.99,0.82,0.03,0.27
FIFA 15,0.78,2.02,0,0.3
Dragon Ball Z: Budokai,2.17,0.28,0.55,0.08
Madden NFL 2002,2.5,0.16,0.01,0.42
World Class Track Meet,1.92,0.45,0.64,0.07
Borderlands 2,1.89,0.91,0.04,0.24
The Legend of Zelda: A Link Between Worlds,1.4,0.99,0.46,0.22
Donkey Kong,1.57,0.62,0.55,0.34
The Sims: Vacation,1.72,1.21,0,0.14
Mass Effect 3,1.94,0.86,0.03,0.24
Kung Fu Panda,1.91,0.84,0,0.29
Far Cry 3,1.38,1.35,0.02,0.28
Epic Mickey,2.06,0.64,0.12,0.22
Saints Row 2,1.94,0.8,0.02,0.27
Rayman,1.54,1.33,0,0.16
Killzone 2,1.4,1.07,0.08,0.47
Tom Clancy's Splinter Cell,1.85,1.04,0,0.13
Mike Tyson's Punch-Out!!,2.03,0.47,0.45,0.07
WWE SmackDown! Shut Your Mouth,1.45,1.13,0.07,0.38
Gears of War: Ultimate Edition,2.38,0.32,0,0.31
NBA 2K13,2.6,0.21,0.01,0.19
Dragon Ball Z: Budokai Tenkaichi 3,1.15,0,0.76,1.09
WWE Smackdown vs. Raw 2006,1.57,1.02,0,0.41
Middle-Earth: Shadow of Mordor,1.01,1.41,0.05,0.53
Star Fox,1.61,0.51,0.8,0.07
The Sims: Livin Large,1.67,1.18,0,0.13
World Soccer Winning Eleven 6 International,0.12,1.26,1.16,0.45
Devil May Cry,1.36,0.86,0.64,0.13
Animal Crossing: Happy Home Designer,0.47,1,1.39,0.12
Battlefield: Bad Company 2,1.33,1.12,0.08,0.45
The Sims 4,0.96,1.72,0,0.29
Star Wars: The Old Republic,1.58,1.01,0,0.38
Sonic Heroes,1.04,1.37,0.06,0.49
Kirby Super Star Ultra,1.57,0.04,1.19,0.15
Hitman 2: Silent Assassin,1.36,1.15,0.04,0.41
Street Fighter IV,1.82,0.71,0.15,0.26
Wave Race 64,1.98,0.58,0.34,0.04
SOCOM II: U.S. Navy SEALs,2.22,0.51,0.06,0.15
WWE SmackDown! vs. RAW 2006,1.45,1.11,0.04,0.33
inFAMOUS,1.76,0.69,0.12,0.37
Pac-Man Collection,2.07,0.77,0.05,0.05
Mass Effect,1.83,0.8,0.03,0.27
WarioWare: Smooth Moves,0.87,1.06,0.73,0.26
Cooking Mama: Cook Off,1.43,1.13,0.05,0.3
Super Mario World 2: Yoshi's Island,1.75,0.45,0.62,0.09
FIFA 14,0.61,1.85,0.11,0.33
Titanfall,1.84,0.8,0.04,0.22
Sonic Mega Collection Plus,1.54,1.14,0,0.22
Sega Superstars Tennis,1.75,0.86,0,0.28
World Soccer Winning Eleven 7 International,0.08,1.24,1.13,0.45
Need for Speed: Most Wanted,0.71,1.51,0.06,0.61
Hot Shots Golf 3,0.99,0.32,1.38,0.2
Call of Duty: Finest Hour,1.51,1.12,0.01,0.24
Zumba Fitness 2,1.54,1.07,0,0.28
Syphon Filter,2.03,0.72,0.02,0.11
Imagine: Babyz,1.3,1.27,0,0.31
