Rank,Title,Studio,Gross,Year
250,Men in Black II,Sony,$441.80 ,2002
251,Les Miserables,Universal,$441.80 ,2012
252,The Exorcist,Warner Brothers,$441.30 ,1973
253,Mrs. Doubtfire,Fox,$441.30 ,1993
254,Terminator: Genisys,Paramount,$440.60 ,2015
255,The Greatest Showman,Fox,$435.00 ,2017
256,A Star is Born,Warner Brothers,$434.90 ,2018
257,Warcraft,Universal,$433.70 ,2016
258,Terminator 3: Rise of the Machines,Warner Brothers,$433.40 ,2003
259,The Mummy Returns,Universal,$433.00 ,2001
260,Die Another Day,MGM,$432.00 ,2002
261,Cast Away,Fox,$429.60 ,2000
262,Rampage,Warner Brothers,$428.00 ,2018
263,Pokemon Detective Pikachu,Warner Brothers,$427.50 ,2019
264,The Matrix Revolutions,Warner Brothers,$427.30 ,2003
265,The Intouchables,Weinstein,$426.60 ,2012
266,Django Unchained,Weinstein,$425.40 ,2012
267,Beauty and the Beast,Buena Vista,$425.00 ,1991
268,Dances with Wolves,Orion,$424.20 ,1990
269,The Chronicles of Narnia: Prince Caspian,Buena Vista,$419.70 ,2008
270,The Mummy,Universal,$415.90 ,1999
271,The Chronicles of Narnia: The Voyage of the Dawn Treader,Fox,$415.70 ,2010
272,Jason Bourne,Universal,$415.50 ,2016
273,Sex and the City,Warner Brothers,$415.30 ,2008
274,The Wolverine,Fox,$414.80 ,2013
275,Kingsman: The Secret Service,Fox,$414.40 ,2015
276,The King's Speech,Weinstein,$414.20 ,2010
277,Night at the Museum: Battle of the Smithsonian,Fox,$413.10 ,2009
278,Batman,Warner Brothers,$411.50 ,1989
279,The Bodyguard,Warner Brothers,$411.00 ,1992
280,Pacific Rim,Warner Brothers,$411.00 ,2013
281,Kingsman: The Golden Circle,Fox,$410.90 ,2017
282,The Mummy,Universal,$409.20 ,2017
283,Ice Age: Collision Course,Fox,$408.60 ,2016
284,Signs,Buena Vista,$408.20 ,2002
285,X2: X-Men United,Fox,$407.70 ,2003
286,Alita: Battle Angel,Fox,$404.90 ,2019
287,Prometheus,Fox,$403.40 ,2012
288,Gone with the Wind,MGM,$402.40 ,1939
289,The Mummy: Tomb of the Dragon Emperor,Universal,$401.10 ,2008
290,Tron Legacy,Buena Vista,$400.10 ,2010
291,Mission: Impossible III,Paramount,$397.90 ,2006
292,Snow White and the Huntsman,Universal,$396.60 ,2012
293,Grease,Paramount,$396.20 ,1978
294,Mamma Mia! Here We Go Again,Universal,$395.00 ,2018
295,Twilight,Lionsgate,$393.60 ,2008
296,Solo: A Star Wars Story,Buena Vista,$392.90 ,2018
297,The Wolf of Wall Street,Paramount,$392.00 ,2013
298,Superman Returns,Warner Brothers,$391.10 ,2006
299,Robin Hood: Prince of Thieves,Warner Brothers,$390.50 ,1991
300,Raiders of the Lost Ark,Paramount,$389.90 ,1981
301,Independence Day: Resurgence,Fox,$389.70 ,2016
302,Home,Fox,$386.00 ,2015
303,Star Trek,Paramount,$385.70 ,2009
304,Monster Hunt,FR,$385.30 ,2016
305,Happy Feet,Warner Brothers,$384.30 ,2006
306,Cars 3,Buena Vista,$383.90 ,2017
307,Live Free or Die Hard,Fox,$383.50 ,2007
308,Ice Age,Fox,$383.30 ,2002
309,Fifty Shades Darker,Universal,$381.50 ,2017
310,Monsters Vs. Aliens,Dreamworks,$381.50 ,2009
311,Back to the Future,Universal,$381.10 ,1985
312,Godzilla,Sony,$379.00 ,1998
313,True Lies,Fox,$378.90 ,1994
314,Mad Max: Fury Road,Warner Brothers,$378.90 ,2015
315,Godzilla: King of the Monsters,Warner Brothers,$378.10 ,2019
316,Slumdog Millionaire,Fox,$377.90 ,2008
317,Taken 2,Fox,$376.10 ,2012
318,G.I. Joe: Retaliation,Paramount,$375.70 ,2013
319,Spider-Man: Into The Spider-Verse,Sony,$375.50 ,2018
320,Batman Begins,Warner Brothers,$374.20 ,2005
321,What Women Want,Paramount,$374.10 ,2000
322,The Adventures of Tintin,Paramount,$374.00 ,2011
323,Toy Story,Buena Vista,$373.60 ,1995
324,X-Men Origins: Wolverine,Fox,$373.10 ,2009
325,Penguins of Madagascar,Fox,$373.00 ,2014
326,The Golden Compass,New Line,$372.20 ,2007
327,Fifty Shades Freed,Universal,$371.90 ,2018
328,Terminator Salvation,Warner Brothers,$371.40 ,2009
329,Captain America: The First Avenger,Paramount,$370.60 ,2011
330,Edge of Tomorrow,Warner Brothers,$370.50 ,2014
331,There's Something About Mary,Fox,$369.90 ,1998
332,Gone Girl,Fox,$369.30 ,2014
333,The Fugitive,Warner Brothers,$368.90 ,1993
334,Jurassic Park III,Universal,$368.80 ,2001
335,My Big Fat Greek Wedding,IFC,$368.70 ,2002
336,Hitch,Sony,$368.10 ,2005
337,Shark Tale,Dreamworks,$367.30 ,2004
338,Die Hard: With A Vengeance,Fox,$366.10 ,1995
339,The Nun,Warner Brothers,$365.60 ,2018
340,Shazam!,Warner Brothers,$364.10 ,2019
341,Notting Hill,Universal,$363.90 ,1999
342,A Bug's Life,Buena Vista,$363.30 ,1998
343,Night at the Museum: Secret of the Tomb,Fox,$363.20 ,2014
344,Fast and Furious,Universal,$363.20 ,2009
345,Ocean's Twelve,Warner Brothers,$362.70 ,2004
346,Noah,Paramount,$362.60 ,2014
347,Planet of the Apes,Fox,$362.20 ,2001
348,The Hangover Part III,Warner Brothers,$362.00 ,2013
349,The World Is Not Enough,MGM,$361.80 ,1999
350,Monster Hunt 2,Lionsgate,$361.70 ,2018
351,Alvin and the Chipmunks,Fox,$361.30 ,2007
352,The Karate Kid,Sony,$359.10 ,2010
353,Home Alone 2: Lost in New York,Fox,$359.00 ,1992
354,Hotel Transylvania,Sony,$358.40 ,2012
355,Minority Report,Fox,$358.40 ,2002
356,Your Name.,FUN,$358.00 ,2017
357,Top Gun,Paramount,$356.80 ,1986
358,The Legend of Tarzan,Warner Brothers,$356.70 ,2016
359,American Beauty,Dreamworks,$356.30 ,1999
360,Apollo 13,Universal,$355.20 ,1995
361,Rain Man,MGM,$354.80 ,1988
362,The Great Gatsby,Warner Brothers,$353.60 ,2013
363,X-Men: First Class,Fox,$353.60 ,2011
364,Basic Instinct,TriStar,$352.90 ,1992
365,Murder on the Orient Express,Fox,$352.80 ,2017
366,The Angry Birds Movie,Sony,$352.30 ,2016
367,GoldenEye,MGM,$352.20 ,1995
368,Catch Me If You Can,Dreamworks,$352.10 ,2002
369,Dumbo,Buena Vista,$351.80 ,2019
370,Now You See Me,Lionsgate,$351.70 ,2013
371,Hannibal,MGM,$351.70 ,2001
372,The Mask,New Line,$351.60 ,1994
373,Peter Rabbit,Sony,$351.30 ,2018
374,Speed,Fox,$350.40 ,1994
375,Dinosaur,Buena Vista,$349.80 ,2000
376,Mary Poppins Returns,Buena Vista,$349.50 ,2018
377,Deep Impact,Paramount,$349.50 ,1998
378,Dr. Seuss' The Lorax,Universal,$348.80 ,2012
379,The Maze Runner,Fox,$348.30 ,2014
380,The Smurfs 2,Sony,$347.50 ,2013
381,National Treasure,Buena Vista,$347.50 ,2004
382,Rush Hour 2,New Line,$347.30 ,2001
383,"I, Robot",Fox,$347.20 ,2004
384,Trolls,Fox,$346.90 ,2016
385,xXx: The Return of Xander Cage,Paramount,$346.10 ,2017
386,Pocahontas,Buena Vista,$346.10 ,1995
387,How the Grinch Stole Christmas,Universal,$345.10 ,2000
388,Star Trek Beyond,Paramount,$343.50 ,2016
389,Alvin and the Chipmunks: Chipwrecked,Fox,$342.70 ,2011
390,The Flintstones,Universal,$341.60 ,1994
391,Wanted,Universal,$341.40 ,2008
392,A Quiet Place,Paramount,$340.90 ,2018
393,Enchanted,Buena Vista,$340.50 ,2007
394,300: Rise of An Empire,Warner Brothers,$337.60 ,2014
395,Batman Forever,Warner Brothers,$336.60 ,1995
396,Prince of Persia: The Sands of Time,Buena Vista,$336.40 ,2010
397,Over the Hedge,Dreamworks,$336.00 ,2006
398,Journey 2: The Mysterious Island,Warner Brothers,$335.30 ,2012
399,The Rock,Buena Vista,$335.10 ,1996
400,The Great Wall,Universal,$334.90 ,2017
401,Now You See Me 2,Lionsgate,$334.90 ,2016
402,The Curious Case of Benjamin Button,Paramount,$333.90 ,2008
403,Indiana Jones and the Temple of Doom,Paramount,$333.10 ,1984
404,Tomorrow Never Dies,MGM,$333.00 ,1997
405,The Good Dinosaur,Buena Vista,$332.20 ,2015
406,Back to the Future Part II,Universal,$332.00 ,1989
407,22 Jump Street,Sony,$331.30 ,2014
408,Fantastic Four,Fox,$330.60 ,2005
409,Meet the Parents,Universal,$330.40 ,2000
410,Who Framed Roger Rabbit,Buena Vista,$329.80 ,1988
411,Black Swan,Fox,$329.40 ,2010
412,The Perfect Storm,Warner Brothers,$328.70 ,2000
413,Crocodile Dundee,Paramount,$328.20 ,1986
414,Seven,New Line,$327.30 ,1995
415,The Devil Wears Prada,Fox,$326.60 ,2006
416,Taken 3,Fox,$326.50 ,2015
417,The Hunchback of Notre Dame,Buena Vista,$325.30 ,1996
418,A Christmas Carol,Buena Vista,$325.30 ,2009
419,The SpongeBob Movie: Sponge Out of Water,Paramount,$325.20 ,2015
420,Schindler's List,Universal,$322.10 ,1993
421,Megamind,Dreamworks,$321.90 ,2010
422,Lethal Weapon 3,Warner Brothers,$321.70 ,1992
423,Robin Hood,Universal,$321.70 ,2010
424,Inglourious Basterds,Weinstein,$321.50 ,2009
425,101 Dalmatians,Buena Vista,$320.70 ,1996
426,The Conjuring 2,Warner Brothers,$320.40 ,2016
427,Green Book,Universal,$320.30 ,2018
428,Fatal Attraction,Paramount,$320.10 ,1987
429,The Last Airbender,Paramount,$319.70 ,2010
430,The Conjuring,Warner Brothers,$319.50 ,2013
431,The Proposal,Buena Vista,$317.40 ,2009
432,Beverly Hills Cop,Paramount,$316.40 ,1984
433,Air Force One,Sony,$315.20 ,1997
434,The Expendables 2,Lionsgate,$315.00 ,2012
435,Chicken Little,Buena Vista,$314.40 ,2005
436,As Good as It Gets,Sony,$314.20 ,1997
437,A Beautiful Mind,Universal,$313.50 ,2001
438,Maze Runner: The Scorch Trials,Fox,$312.30 ,2015
439,Resident Evil: The Final Chapter,Sony,$312.20 ,2017
440,Austin Powers: The Spy Who Shagged Me,New Line,$312.00 ,1999
441,The LEGO Batman Movie,Warner Brothers,$312.00 ,2017
442,The Polar Express,Warner Brothers,$311.40 ,2004
443,Ocean's Thirteen,Warner Brothers,$311.30 ,2007
444,Little Fockers,Universal,$310.70 ,2010
445,Bolt,Buena Vista,$310.00 ,2008
446,Ransom,Buena Vista,$309.50 ,1996
447,Runaway Bride,Paramount,$309.50 ,1999
448,The Blind Side,Warner Brothers,$309.20 ,2009
449,The Fault in our Stars,Fox,$307.20 ,2014
450,The Pursuit of Happyness,Sony,$307.10 ,2006
451,Rise of the Guardians,Dreamworks,$306.90 ,2012
452,Close Encounters of the Third Kind,Columbia,$306.90 ,1977
453,Chicago,Miramax,$306.80 ,2002
454,Annabelle: Creation,Warner Brothers,$306.50 ,2017
455,Wonder,Lionsgate,$305.90 ,2017
456,Wrath of the Titans,Warner Brothers,$305.30 ,2012
457,Skyscraper,Universal,$304.90 ,2018
458,John Wick: Chapter 3 - Parabellum,Lionsgate,$304.70 ,2019
459,A Good Day to Die Hard,Fox,$304.70 ,2013
460,Mulan,Buena Vista,$304.30 ,1998
461,Passengers,Sony,$303.10 ,2016
462,Battleship,Universal,$303.00 ,2012
463,Dangal,UTV,$302.90 ,2016
464,Liar Liar,Universal,$302.70 ,1997
465,G.I. Joe: The Rise of Cobra,Paramount,$302.50 ,2009
466,Hook,TriStar,$300.90 ,1991
467,Rocky IV,MGM,$300.50 ,1985
468,Superman,Warner Brothers,$300.50 ,1978
469,Rambo: First Blood Part II,TriStar,$300.40 ,1985
470,Van Helsing,Universal,$300.30 ,2004
471,Resident Evil: Afterlife,Sony,$300.20 ,2010
472,Stuart Little,Sony,$300.10 ,1999
473,Beverly Hills Cop II,Paramount,$300.00 ,1987
474,Alice Through the Looking Glass,Buena Vista,$299.50 ,2016
475,My Best Friend's Wedding,Sony,$299.30 ,1997
476,Real Steel,Buena Vista,$299.30 ,2011
477,Ocean's 8,Warner Brothers,$297.70 ,2018
478,The Divergent Series: Insurgent,Lionsgate,$297.30 ,2015
479,Dr. Seuss' Horton Hears a Who!,Fox,$297.10 ,2008
480,Look Who's Talking,TriStar,$297.00 ,1989
481,Austin Powers in Goldmember,New Line,$296.70 ,2002
482,Miss Peregrine's Home for Peculiar Children,Fox,$296.50 ,2016
483,X-Men,Fox,$296.30 ,2000
484,Ferdinand,Fox,$296.10 ,2017
485,Ghostbusters,Columbia,$295.20 ,1984
486,Shutter Island,Paramount,$294.80 ,2010
487,Doctor Dolittle,Fox,$294.50 ,1998
488,Salt,Sony,$293.50 ,2010
489,G-Force,Buena Vista,$292.80 ,2009
490,The Departed,Warner Brothers,$291.50 ,2006
491,What Lies Beneath,Dreamworks,$291.40 ,2000
492,Pacific Rim Uprising,Universal,$290.90 ,2018
493,Shakespeare in Love,Miramax,$289.30 ,1998
494,Fantastic Four: Rise of the Silver Surfer,Fox,$289.00 ,2007
495,Divergent,Lionsgate,$288.90 ,2014
496,Coming to America,Paramount,$288.80 ,1988
497,The Bourne Supremacy,Universal,$288.50 ,2004
498,Bridesmaids,Universal,$288.40 ,2011
499,Sex and the City 2,Warner Brothers,$288.30 ,2010
500,Maze Runner: The Death Cure,Fox,$288.30 ,2018
501,Casper,Universal,$287.90 ,1995
