Battle,Start Date,State
Battle of Cowan's Ford,2/1/1781,North Carolina
Capture of Sint Eustatius,2/3/1781,
Battle of Haw River,2/25/1781,North Carolina
Battle of Wetzell's Mill,3/6/1781,North Carolina
Siege of Pensacola,3/9/1781,Florida
Battle of Guilford Court House,3/15/1781,North Carolina
Battle of Cape Henry,3/16/1781,Virginia
Siege of Fort Watson,4/15/1781,South Carolina
Battle of Porto Praya,4/15/1781,
Battle of Blandford,4/25/1781,Virginia
Battle of Hobkirk's Hill,4/25/1781,South Carolina
Battle of Fort Royal,4/29/1781,
Action of 1 May 1781,5/1/1781,
Battle of Fort Motte,5/8/1781,South Carolina
Siege of Augusta,5/22/1781,Georgia
Siege of Ninety-Six,5/22/1781,South Carolina
Invasion of Tobago,5/24/1781,
Action of 30 May 1781,5/30/1781,
Battle of Spencer's Ordinary,6/26/1781,Virginia
Francisco's Fight,7/1/1781,Virginia
Battle of Green Spring,7/6/1781,Virginia
Naval battle of Louisbourg,7/21/1781,
Battle of Dogger Bank,8/5/1781,
Invasion of Minorca,8/19/1781,
Lochry's Defeat,8/24/1781,
Battle of the Chesapeake,9/5/1781,Virginia
Battle of Groton Heights,9/6/1781,Connecticut
Battle of Eutaw Springs,9/8/1781,South Carolina
Battle of Lindley's Mill,9/13/1781,North Carolina
Long Run Massacre,9/13/1781,Virginia
Siege of Yorktown,9/28/1781,Virginia
Battle of Fort Slongo,10/3/1781,New York
Siege of Negapatam,10/21/1781,
Battle of Johnstown,10/25/1781,New York
Second Battle of Ushant,12/12/1781,
Battle of Videau's Bridge,1/2/1782,South Carolina
Siege of Brimstone Hill,1/11/1782,
Capture of Trincomalee,1/11/1782,
Capture of Demerara and Essequibo,1/22/1782,
Battle of Saint Kitts,1/25/1782,
Battle of Sadras,2/17/1782,
Capture of Montserrat,2/22/1782,
Battle of Wambaw,2/24/1782,South Carolina
Gnadenhütten massacre,3/8/1782,Ohio
Battle of Roatán,3/16/1782,
Action of 16 March 1782,3/16/1782,
Battle of Little Mountain,3/22/1782,Virginia
Battle of Delaware Bay,4/8/1782,New Jersey
Battle of the Saintes,4/9/1782,
Battle of Providien,4/12/1782,
Battle of the Black River,,
Battle of the Mona Passage,4/19/1782,
Action of 20**21 April 1782,4/20/1782,
Capture of the Bahamas,5/6/1782,
Crawford expedition,5/25/1782,
Naval battle off Halifax,5/28/1782,
Raid on Lunenburg,7/1/1782,
Battle of Negapatam,7/6/1782,
Hudson Bay Expedition,8/8/1782,
Siege of Bryan Station,8/15/1782,Virginia
Battle of Blue Licks,8/19/1782,Virginia
Battle of the Combahee River,8/26/1782,South Carolina
Battle of Trincomalee,8/25/1782,
Siege of Fort Henry,9/11/1782,Virginia
Grand Assault on Gibraltar,9/13/1782,
Action of 18 October 1782,10/18/1782,
Action of 6 December 1782,12/6/1782,
Action of 22 January 1783,1/22/1783,Virginia
