,,,Culture,Culture,Services,Services
ID,Spencechester,523 Ali Stream,B,B-,D,C
ID,West Christophertown,168 Brown Stravenue,A+,B-,A-,C
HI,Kathleenport,507 White Vista,B-,B,F,F
VT,Baileyfort,831 Norma Cove,B,D+,A+,D+
GA,Tinaborough,946 Lindsay Port,B,C,D,F
GA,New Carmenland,943 James Lake,B+,B-,C+,C-
ND,Scottstad,663 Hamilton Way,B-,D+,D-,B+
MI,Murraystad,489 Wayne Isle,A,D,D+,A+
OR,East Vincentchester,095 Christensen Wall,F,D-,D-,D+
WI,Claytonbury,678 Gina Parks,A+,A,B+,A
MA,Gonzalesbury,770 Little Shoals,D,A,B,D
NV,Stevenbury,267 Willis Court,B,B-,C,F
GA,Amyburgh,941 Brian Expressway,B,B,D-,C+
AR,New Larryshire,372 Vazquez Isle,B,B,C-,D+
IN,East Deborahberg,829 Melissa Mountain,D-,F,A+,A+
FL,Kingchester,467 Lisa Mission,A,C,F,C+
NH,South Tara,559 Michael Glens,C-,C-,F,B
AL,Kathrynstad,356 Dodson Plains,B,D-,F,A+
AL,East Bobbyside,294 Mitchell Village,C-,A-,B-,F
HI,Port Ronnietown,710 Timothy Mountain,B-,C+,C+,B+
AL,Port Jenniferfurt,539 Horton Fork,B,A-,F,B
OK,West Anna,811 Watts Drives,D-,B-,D,B-
SD,West Scott,139 Hardy Vista,C+,A-,D+,B-
PA,Port Rickymouth,041 Patterson Station,A-,B-,D+,C+
KY,Hammondside,751 Patton Squares,D-,C,A-,B
MA,Danielmouth,539 Curry Station,D+,A-,A,A-
WY,Reneeshire,717 Patel Square,B,B+,D,A
AL,Lonniestad,643 Allen Estates,C,B-,D-,C+
KS,Shawnchester,103 David Crest,B+,D,A+,A-
MS,Martinezmouth,307 Le Flat,F,B,A,D-
IN,Fisherborough,975 Bell Fork,C+,B+,C,A+
PA,Port Curtisville,278 Jones Lane,C+,A+,D-,D+
LA,Jimenezview,063 Cox Park,A-,D-,D,D+
MA,Stevenshire,660 Anthony Path,A,A-,B-,A
NY,New Joshuaport,160 Martin River,C,C,D+,B+
PA,Wellsville,476 Jaime Spurs,D-,A,A-,C
VT,Jodiburgh,118 Thompson Stravenue,D-,B+,C,C
NY,Lake Christopher,811 Kathleen Trace,B+,D,A-,A-
CT,Port Mike,410 Keith Lodge,D-,A,B+,D
WY,Hardyburgh,227 Andrew Parkway,D,C-,D-,C
IA,Chadburgh,877 Smith Haven,A,C,B-,D+
ND,Lake Larryburgh,721 Brennan Common,B+,C,B,A
ND,West Misty,183 Anderson View,C,D-,C+,A-
DE,Port Michael,328 Brian Cliff,C,D+,D,A
OK,North Davidberg,249 Johnson Tunnel,C,C-,B+,C
IA,East Brittany,690 Gonzales Tunnel,C-,D+,C-,D-
CA,Ryanfort,934 David Run,F,B+,F,D-
NC,Wilsonshire,871 Christopher Vista,B+,B,D+,F
DC,East Lisaview,910 Sandy Ramp,A-,A+,B,B
OK,West Danielside,677 Morales Coves,D+,F,C-,D+
ME,Lake Timothy,746 Jeffrey Bypass,B-,D,D+,B+
NV,Patricktown,886 Harding Place,A-,D-,D-,F
FL,West Miguelstad,570 James Unions,D-,A-,B,C+
UT,Leeberg,943 Luna Parks,D-,D,C,A+
KS,Timothystad,194 Miller Grove,B,F,D-,A
NC,North Kennethmouth,208 Adams Brook,C+,A+,B,A+
DC,Richardland,419 Michael Squares,D+,D+,D+,C-
RI,Davidshire,798 Potts Crossing,B-,B-,A-,C-
TX,Jacksonfort,332 Rachel Way,D+,A-,C-,D
UT,West Ambermouth,132 Gina Rue,D,A+,C-,C
DC,New Janice,477 Flores Cliff,A,B+,B-,C-
MO,Port Elizabeth,072 Mariah Creek,C,C-,D-,A
AZ,Lake Davidshire,943 Melissa Haven,D+,B+,C-,D-
ND,Stephanieport,307 Wood Camp,B+,D-,A,B+
AL,East Connie,943 John Gardens,B+,C-,C+,D
VT,Port Lindaberg,567 Parks Junction,B+,A,F,F
GA,Trevorville,283 Kelli Forest,D,C,D-,C+
VT,Vargasberg,275 Samantha Square,C-,C-,D,D
MN,Johnsonside,426 Sampson Manor,D-,B+,B+,C+
AK,Rowlandchester,386 Rebecca Cove,C-,A-,A+,C
IN,Simmonsfurt,547 Miller Isle,A+,A+,B+,C
VT,New Jenniferton,746 Wilcox Locks,C-,D-,D-,D+
DC,South Nathan,631 Lynch Hill,D-,C+,C-,A+
DE,Dustinmouth,719 Dixon Ways,D-,B-,B+,C+
WY,Lake Nicole,754 Weaver Turnpike,B,D-,B,D
GA,Spencechester,570 Davis Isle,F,C-,D-,C-
NY,West Christophertown,007 Macias Points,D,A-,B-,B+
ME,Kathleenport,520 Ellis Meadows,B-,A-,C+,D-
UT,Baileyfort,919 Stewart Hills,D+,C+,A,C
OH,Tinaborough,587 Tony Route,B+,B+,B+,B+
IN,New Carmenland,567 Ricky Trafficway,A-,D+,B-,D+
AK,Scottstad,082 Leblanc Freeway,D,C-,D,B+
WV,Murraystad,146 Campbell Vista,C,A+,D-,D+
RI,East Vincentchester,461 David Courts,A-,C+,A+,D
OK,Claytonbury,286 Rodgers Plains,D-,A-,D-,B-
NV,Gonzalesbury,694 Wright Trail,B-,A-,A,D+
PA,Stevenbury,352 Davis Mountain,A-,F,F,F
IA,Amyburgh,163 Heather Neck,F,D,A+,A-
NV,New Larryshire,098 Carter Stravenue,A-,A+,A+,A+
NH,East Deborahberg,271 Ryan Mount,B,C,D+,B-
TX,Kingchester,534 Gordon Falls,C,D+,B,B
DE,South Tara,047 Martinez Keys,C+,B-,D+,B-
WV,Kathrynstad,985 Sierra Estate,D,C+,A-,A
NV,East Bobbyside,503 Rebecca Flats,D+,B-,B+,A
HI,Port Ronnietown,323 William Club,C,B-,C+,C-
MI,Port Jenniferfurt,208 David Ville,D-,D-,B-,B+
ID,West Anna,544 Patel Locks,B,C-,A-,A+
NC,West Scott,348 Jack Branch,A-,D-,A-,A
SC,Port Rickymouth,540 Berry Burgs,B-,C+,D+,C
MN,Hammondside,493 Griffin Mews,A,C,B+,A
LA,Danielmouth,084 Jamie Tunnel,B,C,A+,D
NY,Reneeshire,436 Parker Shore,A-,D-,C,B
TN,Lonniestad,957 Olson Fields,D,C+,B-,C+
NE,Shawnchester,802 Cook Cliff,D-,D+,D,A
MT,Martinezmouth,177 Scott Park,B,A,B-,F
MS,Cathyton,576 Serrano Spurs,C+,A+,F,A-
NE,Barryborough,460 Anna Tunnel,A+,A+,B,A
TN,Neilmouth,288 Shaun Lodge,A,A,B-,C+
MT,Port Alejandro,946 Savannah Rapids,C,C,B,D-
MN,East Sandra,728 Davis Prairie,D-,B+,C,A-
MT,Frankfurt,551 Joshua Club,D+,C,C,C+
VT,New Rubenville,010 Lucero Point,A+,B,C-,A-
FL,Bryanchester,481 Julie Meadows,C-,D,B-,B+
KS,South Karenberg,141 Eric Lock,A,B+,C-,D
CT,Sethstad,139 Bailey Grove,C,C-,C+,A+
MN,East Tamarafurt,622 Kayla Passage,A+,F,A,B
MT,Jefferyland,162 Luke Wall,D+,A-,A+,D+
AR,Russoshire,499 Hinton Forks,B-,F,C+,C
DE,New Christopher,822 Connie Dale,C-,C-,A-,A-
CT,New Adrianhaven,048 Brian Cove,A-,C+,A+,D-
IN,Wilsonborough,066 Carr Road,A+,C-,B,F
ND,West Heather,005 Maxwell Fields,D+,C,C+,C-
IA,East Christopher,955 Hoffman Camp,B,D-,A,B+
HI,New Caroline,302 Paul Spring,B-,F,B-,A
NH,North Latoya,603 Clark Mount,D-,A-,B+,B-
CT,East Jessicaland,208 Todd Knolls,A+,A,A+,C+
LA,Port Michellemouth,155 Ethan Island,D,C+,A+,D
ME,Lake Ambertown,654 Margaret Lake,B+,A-,C+,D
MS,East Brandi,909 Adkins Square,A+,F,A,C+
SC,Nguyenchester,452 Johnson Pike,B,C-,D-,D-
MO,Hendersonland,984 Williams Road,B+,A-,D-,A+
AL,Vegaside,191 Mindy Meadows,B+,A-,A+,D+
OK,New Michael,333 Johnson Fields,D-,C,B-,C-
NC,Fletcherfurt,869 Mullen Village,C+,B+,A+,D
ID,Thompsonview,028 Ford Brook,B-,F,A,C-
OH,Port Emma,131 Thomas Meadow,D,D,F,D+
MN,North Sharonland,418 Collier Walks,A-,B-,B,D-
WV,Elizabethport,648 George Crest,D,D+,C+,A+
WY,Martintown,013 Bell Mills,C-,D,A-,B-
NY,Lake Laurenhaven,735 Loretta Mills,B,A+,C+,B
ME,New Robert,105 Benjamin Mission,D-,A-,A+,C
ME,Schmidtchester,947 Anthony Roads,F,C,D,A
WY,Port Jason,624 Faulkner Orchard,A-,F,C+,C+
MN,New Anthony,995 Jessica Haven,D+,D+,A-,F
AL,Samuelville,989 Dean Plains,A-,F,D,A
AZ,West Richard,847 Nelson Cape,C,A+,C+,A+
DE,South Kayla,731 Atkinson Knolls,A+,C-,A-,D+
DC,East Jessica,149 Norman Crossing,A-,C-,C+,A-
SD,Port Susanborough,445 Moreno Port,A,A+,C,C
PA,South Brandonland,372 Franklin Radial,A+,C-,A-,B
OR,Port James,593 Mitchell Mission,D,A+,D-,C
NJ,Lake Annaborough,644 Ronald Square,B+,D,D+,D
VA,Katrinashire,515 Rebecca Lights,D-,A+,F,B-
SC,Earlview,070 Tara Center,A-,F,D+,B
ID,Andrewshire,952 Ellis Drive,C+,A-,C+,A
SC,Frankchester,944 William Lane,C,B-,D+,B
MO,New Bailey,424 Marissa Underpass,C-,F,F,B+
HI,Lauratown,595 Moore Corner,D-,B+,B+,B-
AL,Clarkland,430 Douglas Mission,A,F,C+,B+
MO,Josephfort,259 Robles Turnpike,D,A-,B-,D
AR,Allisonland,124 Diaz Brooks,C-,A+,F,C+
WI,Danielbury,389 Castillo Plains,B-,D,A-,A-
NH,Ingramton,430 Calvin Underpass,C+,D+,C,C-
FL,Port Melissaburgh,393 Jennifer Parkway,A+,A-,D,B-
TN,Christinaport,200 Charles Springs,B+,D-,C+,F
MS,Jordanhaven,683 Goodman Crescent,C,A+,C,D
HI,South Lauren,073 Amanda Well,B+,D+,D-,B
MI,Port Nicholas,856 Christopher Stravenue,B,C-,B-,D+
ME,New Brett,272 Cain Via,A-,D,A,D+
CO,South Eugene,654 Fisher Summit,C-,B,D-,F
CO,Port Jeanette,219 Henderson Glen,D,B+,C,B
MT,Lake Cynthialand,052 Brock Glens,B-,D+,A,C+
ME,Port Daniel,161 Austin Ranch,D+,C,F,C
KY,Bowmantown,698 Lee Meadows,D+,B+,D,A
NM,South Jacob,671 Cantrell Highway,B,D+,B-,B-
IN,Smithside,347 Nicholas Shores,B-,B-,C-,A-
OH,Dawsontown,599 Robles Falls,B,C,C+,D-
ME,Raymondville,579 Nicholas Dam,A,C-,D,C
SC,Port Angela,213 Jackson Highway,C+,C,A+,D
RI,Port Elizabeth,598 Jacob Oval,A-,C-,F,B
SC,Charlesport,600 Rodriguez Forks,B,C-,A,B+
DE,Moonborough,518 Christopher Springs,F,C,C-,A-
UT,Ericberg,459 Cooper Cape,B+,B+,D+,B-
CO,Lake Robert,049 Jordan Lane,C,F,C+,C-
AZ,Tiffanyberg,344 Ronald Groves,D+,A+,C,B+
WV,West Joycemouth,340 Maxwell Stravenue,D-,A-,A,B
SC,Baxterview,870 Erica Throughway,C+,A+,D+,A
ME,Morrisonburgh,335 Scott Manors,F,B+,F,D+
NH,Courtneyfort,697 Spencer Isle,A+,A+,C+,A+
HI,New Jennifer,931 Pace Lights,C,D-,F,A-
TN,West Donald,687 Dean Passage,D,C-,A,D
VT,Mackchester,025 Richard Ridges,B,B,B-,C-
DE,Lake Davidmouth,051 Destiny Mission,B+,B+,A,B+
MD,Sanchezmouth,003 Daniel Via,D+,C,C,D
CA,North Jennifer,303 Alisha Road,D-,C+,C+,A+
WV,Fitzgeraldborough,191 Gregory Court,B-,D+,F,B-
AK,Scottstad,114 Jones Garden,D-,D-,D,D
IA,Port Willieport,320 Jennifer Mission,C,A,A,C
ME,Port Linda,692 Hill Glens,C+,B-,D-,F
KS,Kaylamouth,483 Freeman Via,C,D-,B,B+
WA,Port Shawnfort,691 Winters Bridge,B,C-,A+,C+
MI,North Matthew,055 Clayton Isle,B-,C,B,C+
MT,Chadton,601 Richards Road,A-,D,D+,D
SC,Diazmouth,385 Robin Harbors,F,D,B-,D+
VA,Laurentown,255 Gonzalez Land,C+,B-,F,D-
NE,South Kennethmouth,346 Wallace Pass,C-,B-,A,A-
