Name,Team,Position,Birthday,Salary
Joe Ingles,Utah Jazz,PF,10/2/87,11454546
Jarrett Culver,Minnesota Timberwolves,SG,2/20/99,5813640
Robert Covington,Minnesota Timberwolves,PF,12/14/90,11301219
Damyean Dotson,New York Knicks,SG,5/6/94,1618520
Patrick Beverley,Los Angeles Clippers,PG,7/12/88,12345680
Kevin Love,Cleveland Cavaliers,C,9/7/88,28942830
Quinn Cook,Los Angeles Lakers,PG,3/23/93,3000000
Justin Wright-Foreman,Utah Jazz,G,10/27/97,79568
Noah Vonleh,Minnesota Timberwolves,C,8/24/95,2000000
Tyus Jones,Memphis Grizzlies,PG,5/10/96,9258000
Dewayne Dedmon,Sacramento Kings,C,8/12/89,13333334
Malcolm Brogdon,Indiana Pacers,PG,12/11/92,20000000
Ben McLemore,Houston Rockets,SG,2/11/93,2028594
Wilson Chandler,Brooklyn Nets,PF,5/10/87,2564753
Isaac Bonga,Washington Wizards,PG,11/8/99,1416852
Adam Mokoka,Chicago Bulls,G,7/18/98,79568
Lonzo Ball,New Orleans Pelicans,PG,10/27/97,8719320
Jalen Brunson,Dallas Mavericks,PG,8/31/96,1416852
John Collins,Atlanta Hawks,PF,9/23/97,2686560
Marvin Williams,Charlotte Hornets,PF,6/19/86,15006250
Brad Wanamaker,Boston Celtics,PG,7/25/89,1445697
Donte DiVincenzo,Milwaukee Bucks,SG,1/31/97,2905800
Omari Spellman,Golden State Warriors,PF,7/21/97,1897800
Joe Harris,Brooklyn Nets,SF,9/6/91,7666667
Royce O'Neale,Utah Jazz,PF,6/5/93,1618520
Deandre Ayton,Phoenix Suns,C,7/23/98,9562920
Cory Joseph,Sacramento Kings,PG,8/20/91,12000000
Malcolm Miller,Toronto Raptors,SF,3/6/93,1588231
Justise Winslow,Miami Heat,PF,3/26/96,13000000
Kevin Durant,Brooklyn Nets,PF,9/29/88,37199000
Evan Fournier,Orlando Magic,SF,10/29/92,17000000
Chris Silva,Miami Heat,PF,9/19/96,79568
Vince Carter,Atlanta Hawks,PF,1/26/77,2564753
Cody Zeller,Charlotte Hornets,C,10/5/92,14471910
Brian Bowen,Indiana Pacers,SG,10/2/98,79568
Aaron Holiday,Indiana Pacers,PG,9/30/96,2239200
Troy Daniels,Los Angeles Lakers,SG,7/15/91,2028594
Buddy Hield,Sacramento Kings,SG,12/17/92,4861207
Terance Mann,Los Angeles Clippers,SG,10/18/96,1000000
John Konchar,Memphis Grizzlies,SG,3/22/96,79568
KZ Okpala,Miami Heat,SF,4/28/99,898310
Denzel Valentine,Chicago Bulls,SF,11/16/93,3377568
Marquese Chriss,Golden State Warriors,PF,7/2/97,1678854
Anthony Davis,Los Angeles Lakers,C,3/11/93,27093019
Nemanja Bjelica,Sacramento Kings,PF,5/9/88,6825000
Chandler Parsons,Atlanta Hawks,SF,10/25/88,25102512
Courtney Lee,Dallas Mavericks,SG,10/3/85,12759670
Myles Turner,Indiana Pacers,C,3/24/96,18000000
Kyle O'Quinn,Philadelphia 76ers,C,3/26/90,2174318
Bryn Forbes,San Antonio Spurs,SG,7/23/93,2875000
Duncan Robinson,Miami Heat,PF,4/22/94,1416852
Devin Booker,Phoenix Suns,SG,10/30/96,27285000
Grant Williams,Boston Celtics,PF,11/30/98,2379840
DeMarcus Cousins,Los Angeles Lakers,C,8/13/90,3500000
DeMar DeRozan,San Antonio Spurs,SF,8/7/89,27739975
Kristaps Porzingis,Dallas Mavericks,PF,8/2/95,27285000
Brandon Knight,Cleveland Cavaliers,PG,12/2/91,15643750
Thabo Sefolosha,Houston Rockets,PF,5/2/84,2564753
David Nwaba,Brooklyn Nets,SF,1/14/93,1678854
Quinndary Weatherspoon,San Antonio Spurs,G,9/10/96,79568
Dewan Hernandez,Toronto Raptors,C,12/9/96,898310
Isaiah Thomas,Washington Wizards,PG,2/7/89,2320044
Bruce Brown,Detroit Pistons,SG,8/15/96,1416852
Keldon Johnson,San Antonio Spurs,SF,10/11/99,1950600
Damian Jones,Atlanta Hawks,C,6/30/95,2305057
Luguentz Dort,Oklahoma City Thunder,G,4/19/99,79568
Terence Davis,Toronto Raptors,SG,5/16/97,898310
Chandler Hutchison,Chicago Bulls,SF,4/26/96,2332320
Steven Adams,Oklahoma City Thunder,C,7/20/93,25842697
Jordan Poole,Golden State Warriors,SG,6/19/99,1964760
Sekou Doumbouya,Detroit Pistons,SF,12/23/00,3285120
Zion Williamson,New Orleans Pelicans,F,7/6/00,9757440
Mike Muscala,Oklahoma City Thunder,C,7/1/91,2028594
Skal Labissiere,Portland Trail Blazers,C,3/18/96,2338846
Meyers Leonard,Miami Heat,C,2/27/92,11286515
Reggie Jackson,Detroit Pistons,PG,4/16/90,18086956
Alfonzo McKinnie,Cleveland Cavaliers,SF,9/17/92,1588231
Yuta Watanabe,Memphis Grizzlies,SF,10/13/94,79568
Kentavious Caldwell-Pope,Los Angeles Lakers,SG,2/18/93,8089282
Kelan Martin,Minnesota Timberwolves,SF,8/3/95,79568
OG Anunoby,Toronto Raptors,SF,7/17/97,2281800
Tyler Herro,Miami Heat,SG,1/20/00,3640200
Richaun Holmes,Sacramento Kings,C,10/15/93,4767000
Tyson Chandler,Houston Rockets,C,10/2/82,2564753
Solomon Hill,Memphis Grizzlies,SF,3/18/91,13290395
Keita Bates-Diop,Minnesota Timberwolves,SF,1/23/96,1416852
Kelly Olynyk,Miami Heat,C,4/19/91,12667885
Jaxson Hayes,New Orleans Pelicans,C,5/23/00,4862040
CJ McCollum,Portland Trail Blazers,SG,9/19/91,27556959
Darius Miller,New Orleans Pelicans,SF,3/21/90,7250000
Luka Doncic,Dallas Mavericks,PG,2/28/99,7683360
DeMarre Carroll,San Antonio Spurs,PF,7/27/86,7000000
Cristiano Felicio,Chicago Bulls,C,7/7/92,8156500
Zach LaVine,Chicago Bulls,PG,3/10/95,19500000
Tremont Waters,Boston Celtics,PG,1/10/98,79568
Dejounte Murray,San Antonio Spurs,PG,9/19/96,2321735
Jerome Robinson,Los Angeles Clippers,SG,2/22/97,3567720
Rudy Gay,San Antonio Spurs,PF,8/17/86,14500000
Ryan Broekhoff,Dallas Mavericks,SG,8/23/90,1416852
Jake Layman,Minnesota Timberwolves,PF,3/7/94,3581986
Cameron Johnson,Phoenix Suns,PF,3/3/96,4033440
Allen Crabbe,Atlanta Hawks,SG,4/9/92,18500000
Justin James,Sacramento Kings,SG,1/24/97,898310
Emmanuel Mudiay,Utah Jazz,PG,3/5/96,1737145
Avery Bradley,Los Angeles Lakers,PG,11/26/90,6767000
Victor Oladipo,Indiana Pacers,PG,5/4/92,21000000
Caleb Martin,Charlotte Hornets,SF,9/28/95,898310
Coby White,Chicago Bulls,SG,2/16/00,5307120
Isaiah Hartenstein,Houston Rockets,C,5/5/98,1416852
Will Barton,Denver Nuggets,SF,1/6/91,12776786
Dwayne Bacon,Charlotte Hornets,SG,8/30/95,1618520
Harrison Barnes,Sacramento Kings,PF,5/30/92,24147727
Tim Frazier,Detroit Pistons,PG,11/1/90,1620564
Jimmy Butler,Miami Heat,SF,9/14/89,32742000
Gary Harris,Denver Nuggets,SG,9/14/94,17839286
Thon Maker,Detroit Pistons,C,2/25/97,3569643
Shai Gilgeous-Alexander,Oklahoma City Thunder,PG,7/12/98,3952920
Hassan Whiteside,Portland Trail Blazers,C,6/13/89,27093018
Karl-Anthony Towns,Minnesota Timberwolves,C,11/15/95,27285000
Ky Bowman,Golden State Warriors,PG,6/16/97,79568
Ben Simmons,Philadelphia 76ers,PG,7/20/96,8113929
Terrence Ross,Orlando Magic,SF,2/5/91,12500000
Jordan McLaughlin,Minnesota Timberwolves,PG,4/9/96,79568
Daniel Theis,Boston Celtics,C,4/4/92,5000000
Jonathan Isaac,Orlando Magic,PF,10/3/97,5806440
Cheick Diallo,Phoenix Suns,C,9/13/96,1678854
Serge Ibaka,Toronto Raptors,C,9/18/89,23271604
Amile Jefferson,Orlando Magic,PF,5/7/93,1339515
Cam Reddish,Atlanta Hawks,SF,9/1/99,4245720
De'Anthony Melton,Memphis Grizzlies,PG,5/28/98,1416852
Udonis Haslem,Miami Heat,C,6/9/80,2564753
Charlie Brown,Atlanta Hawks,SG,2/2/97,79568
Elie Okobo,Phoenix Suns,PG,10/23/97,1416852
Gordon Hayward,Boston Celtics,PF,3/23/90,32700690
Marco Belinelli,San Antonio Spurs,SF,3/25/86,5846154
Javonte Green,Boston Celtics,SF,7/23/93,898310
Rondae Hollis-Jefferson,Toronto Raptors,SF,1/3/95,2500000
Carmelo Anthony,Portland Trail Blazers,PF,5/29/84,2159029
Danny Green,Los Angeles Lakers,SG,6/22/87,14634147
Stephen Curry,Golden State Warriors,PG,3/14/88,40231758
Eric Paschall,Golden State Warriors,PF,11/4/96,898310
Daniel Gafford,Chicago Bulls,C,10/1/98,898310
Anfernee Simons,Portland Trail Blazers,SG,6/8/99,2149560
Frank Kaminsky,Phoenix Suns,C,4/4/93,4767000
Luke Kennard,Detroit Pistons,SG,6/24/96,3827160
Josh Okogie,Minnesota Timberwolves,SG,9/1/98,2530680
Rodney Hood,Portland Trail Blazers,SF,10/20/92,5718000
De'Andre Hunter,Atlanta Hawks,SF,12/2/97,7068360
Klay Thompson,Golden State Warriors,SG,2/8/90,32742000
Jrue Holiday,New Orleans Pelicans,PG,6/12/90,26131111
PJ Dozier,Denver Nuggets,PG,10/25/96,79568
Andre Drummond,Detroit Pistons,C,8/10/93,27093018
Jared Harper,Phoenix Suns,PG,9/14/97,79568
Russell Westbrook,Houston Rockets,PG,11/12/88,38506482
Tony Bradley,Utah Jazz,C,1/8/98,1962360
Oshae Brissett,Toronto Raptors,SF,6/20/98,79568
Gary Clark,Houston Rockets,PF,11/16/94,1416852
Pascal Siakam,Toronto Raptors,PF,4/2/94,2351838
Eric Bledsoe,Milwaukee Bucks,PG,12/9/89,15625000
Tomas Satoransky,Chicago Bulls,PG,10/30/91,10000000
Davis Bertans,Washington Wizards,PF,11/12/92,7000000
Amir Coffey,Los Angeles Clippers,G,6/17/97,79568
Ignas Brazdeikis,New York Knicks,SF,1/8/99,898310
Ivan Rabb,New York Knicks,PF,2/4/97,79568
Khris Middleton,Milwaukee Bucks,SF,8/12/91,30603448
Kevin Knox,New York Knicks,PF,8/11/99,4380120
Jeff Green,Utah Jazz,PF,8/28/86,2564753
Ersan Ilyasova,Milwaukee Bucks,PF,5/15/87,7000000
Caleb Swanigan,Sacramento Kings,PF,4/18/97,2033160
Al Horford,Philadelphia 76ers,C,6/3/86,28000000
Clint Capela,Houston Rockets,C,5/18/94,16896552
Georges Niang,Utah Jazz,PF,6/17/93,1645357
Wesley Matthews,Milwaukee Bucks,SF,10/14/86,2564753
Rajon Rondo,Los Angeles Lakers,PG,2/22/86,2564753
Delon Wright,Dallas Mavericks,PG,4/26/92,9473684
Ja Morant,Memphis Grizzlies,PG,8/10/99,8730240
Fred VanVleet,Toronto Raptors,PG,2/25/94,9346153
Brandon Clarke,Memphis Grizzlies,PF,9/19/96,2478840
Miye Oni,Utah Jazz,SG,8/4/97,898310
Julius Randle,New York Knicks,C,11/29/94,18000000
Glenn Robinson III,Golden State Warriors,SF,1/8/94,1882867
Dillon Brooks,Memphis Grizzlies,SF,1/22/96,1618520
Zylan Cheatham,New Orleans Pelicans,SF,11/17/95,79568
Markieff Morris,Detroit Pistons,PF,9/2/89,3200000
Malik Beasley,Denver Nuggets,SG,11/26/96,2731713
John Wall,Washington Wizards,PG,9/6/90,38199000
Vlatko Cancar,Denver Nuggets,SF,4/10/97,898310
Alize Johnson,Indiana Pacers,PF,4/22/96,1416852
Andrew Wiggins,Minnesota Timberwolves,SF,2/23/95,27504630
Khyri Thomas,Detroit Pistons,SG,5/8/96,1416852
Mitchell Robinson,New York Knicks,C,4/1/98,1559712
Damian Lillard,Portland Trail Blazers,PG,7/15/90,29802321
Nassir Little,Portland Trail Blazers,PF,2/11/00,2105520
Mikal Bridges,Phoenix Suns,SF,8/30/96,4161000
Kyle Anderson,Memphis Grizzlies,PF,9/20/93,9073050
Garrett Temple,Brooklyn Nets,PG,5/8/86,4767000
Kyle Korver,Milwaukee Bucks,PF,3/17/81,6004753
Al-Farouq Aminu,Orlando Magic,PF,9/21/90,9258000
James Harden,Houston Rockets,PG,8/26/89,38199000
Derrick White,San Antonio Spurs,PG,7/2/94,1948080
JaKarr Sampson,Indiana Pacers,SF,3/20/93,1737145
Dario Saric,Phoenix Suns,PF,4/8/94,3481985
Ivica Zubac,Los Angeles Clippers,C,3/18/97,6481482
Juan Hernangomez,Denver Nuggets,PF,9/28/95,3321029
Jarrell Brantley,Utah Jazz,PF,6/7/96,79568
Eric Gordon,Houston Rockets,PG,12/25/88,14057730
Naz Reid,Minnesota Timberwolves,F,8/26/99,898310
Justin Robinson,Washington Wizards,PG,10/12/97,898310
Grayson Allen,Memphis Grizzlies,SG,10/8/95,2429400
Trevor Ariza,Sacramento Kings,SF,6/30/85,12200000
Brandon Goodwin,Atlanta Hawks,PG,10/2/95,79568
E'Twaun Moore,New Orleans Pelicans,PG,2/25/89,8664928
Mario Hezonja,Portland Trail Blazers,PF,2/25/95,1737145
Henry Ellenson,Brooklyn Nets,PF,1/13/97,79568
Johnathan Motley,Los Angeles Clippers,PF,5/4/95,79568
James Ennis,Philadelphia 76ers,SF,7/1/90,1882867
Andre Roberson,Oklahoma City Thunder,SF,12/4/91,10740740
Garrison Mathews,Washington Wizards,SG,10/24/96,79568
Jahlil Okafor,New Orleans Pelicans,C,12/15/95,1702486
Mfiondu Kabengele,Los Angeles Clippers,C,8/14/97,1977000
Treveon Graham,Minnesota Timberwolves,SG,10/28/93,1645357
Seth Curry,Dallas Mavericks,PG,8/23/90,7461380
D'Angelo Russell,Golden State Warriors,PG,2/23/96,27285000
Justin Holiday,Indiana Pacers,SG,4/5/89,4767000
Tyrone Wallace,Atlanta Hawks,PG,6/10/94,1620564
Miles Bridges,Charlotte Hornets,SF,3/21/98,3755400
Bogdan Bogdanovic,Sacramento Kings,SG,8/18/92,8529386
Matt Thomas,Toronto Raptors,SG,8/4/94,898310
Jordan Bell,Minnesota Timberwolves,C,1/7/95,1620564
Wenyen Gabriel,Sacramento Kings,PF,3/26/97,79568
Tony Snell,Detroit Pistons,SF,11/10/91,11392857
Shaquille Harrison,Chicago Bulls,PG,10/6/93,1620564
Yogi Ferrell,Sacramento Kings,PG,5/9/93,3150000
Mike Scott,Philadelphia 76ers,PF,7/16/88,4767000
Jarred Vanderbilt,Denver Nuggets,PF,4/3/99,1416852
Jeff Teague,Minnesota Timberwolves,PG,6/10/88,19000000
Zach Norvell,Los Angeles Lakers,SG,12/9/97,79568
Maxi Kleber,Dallas Mavericks,C,1/29/92,8000000
Matisse Thybulle,Philadelphia 76ers,SG,3/4/97,2582160
Ryan Arcidiacono,Chicago Bulls,PG,3/26/94,3000000
Wayne Ellington,New York Knicks,SG,11/29/87,8000000
Kawhi Leonard,Los Angeles Clippers,SF,6/29/91,32742000
Montrezl Harrell,Los Angeles Clippers,C,1/26/94,6000000
Jusuf Nurkic,Portland Trail Blazers,C,8/23/94,12000000
Matthew Dellavedova,Cleveland Cavaliers,PG,9/8/90,9607500
Cody Martin,Charlotte Hornets,SF,9/28/95,1173310
Zhaire Smith,Philadelphia 76ers,SG,6/4/99,3058800
RJ Barrett,New York Knicks,SG,6/14/00,7839960
Lonnie Walker,San Antonio Spurs,SG,12/14/98,2764200
Taurean Prince,Brooklyn Nets,SF,3/22/94,3481985
Elfrid Payton,New York Knicks,PG,2/22/94,8000000
Blake Griffin,Detroit Pistons,PF,3/16/89,34449964
Marko Guduric,Memphis Grizzlies,SG,3/8/95,2625000
Zach Collins,Portland Trail Blazers,C,11/19/97,4240200
Stanley Johnson,Toronto Raptors,PF,5/29/96,3623000
Boban Marjanovic,Dallas Mavericks,C,8/15/88,3500000
Josh Magette,Orlando Magic,PG,11/28/89,79568
Kyle Lowry,Toronto Raptors,PG,3/25/86,33296296
Darius Garland,Cleveland Cavaliers,PG,1/26/00,6400920
Frank Jackson,New Orleans Pelicans,PG,5/4/98,1618520
Dragan Bender,Milwaukee Bucks,PF,11/17/97,1678854
Kenrich Williams,New Orleans Pelicans,PF,12/2/94,1416852
Jerami Grant,Denver Nuggets,PF,3/12/94,9346153
Allonzo Trier,New York Knicks,PG,1/17/96,3551100
Pat Connaughton,Milwaukee Bucks,SG,1/6/93,1723050
Domantas Sabonis,Indiana Pacers,C,5/3/96,3529554
Dylan Windler,Cleveland Cavaliers,GF,9/22/96,2035800
Antonius Cleveland,Dallas Mavericks,SG,2/2/94,79568
Damion Lee,Golden State Warriors,SG,10/21/92,79568
Khem Birch,Orlando Magic,C,9/28/92,3000000
Aron Baynes,Phoenix Suns,C,12/9/86,5453280
Kemba Walker,Boston Celtics,PG,5/8/90,32742000
Nerlens Noel,Oklahoma City Thunder,C,4/10/94,1882867
Jabari Parker,Atlanta Hawks,PF,3/15/95,6500000
Carsen Edwards,Boston Celtics,SG,3/12/98,1228026
Anthony Tolliver,Portland Trail Blazers,PF,6/1/85,2564753
Lauri Markkanen,Chicago Bulls,PF,5/22/97,5300400
Kris Dunn,Chicago Bulls,PG,3/18/94,5348007
Reggie Bullock,New York Knicks,SF,3/16/91,4000000
Mike Conley,Utah Jazz,PG,10/11/87,32511623
Jaylen Nowell,Minnesota Timberwolves,SG,7/9/99,1400000
Gorgui Dieng,Minnesota Timberwolves,C,1/18/90,16229213
Patrick Patterson,Los Angeles Clippers,PF,3/14/89,3068660
Jarrett Allen,Brooklyn Nets,C,4/21/98,2376840
Bobby Portis,New York Knicks,C,2/10/95,15000000
Joel Embiid,Philadelphia 76ers,C,3/16/94,27504630
Jonas Valanciunas,Memphis Grizzlies,C,5/6/92,16000000
Chris Chiozza,Washington Wizards,PG,11/21/95,79568
Kent Bazemore,Portland Trail Blazers,SF,7/1/89,19269663
Tristan Thompson,Cleveland Cavaliers,C,3/13/91,18539130
Mason Plumlee,Denver Nuggets,C,3/5/90,14041096
Shabazz Napier,Minnesota Timberwolves,PG,7/14/91,1845301
Edmond Sumner,Indiana Pacers,PG,12/31/95,2000000
Alex Len,Atlanta Hawks,C,6/16/93,4160000
Josh Richardson,Philadelphia 76ers,SF,9/15/93,10116576
Bojan Bogdanovic,Utah Jazz,SF,4/18/89,17000000
Iman Shumpert,Brooklyn Nets,PG,6/26/90,2031676
Daryl Macon,Miami Heat,SG,11/29/95,79568
Rodney McGruder,Los Angeles Clippers,SG,7/29/91,4807693
Bam Adebayo,Miami Heat,C,7/18/97,3454080
Jacob Evans,Golden State Warriors,SG,6/18/97,1928280
Nigel Williams-Goss,Utah Jazz,PG,9/16/94,1500000
Terrance Ferguson,Oklahoma City Thunder,SF,5/17/98,2475840
Michael Carter-Williams,Orlando Magic,PG,10/10/91,2028594
Bol Bol,Denver Nuggets,C,11/16/99,79568
Willie Cauley-Stein,Golden State Warriors,C,8/18/93,2177483
Nikola Vucevic,Orlando Magic,C,10/24/90,28000000
Nicolas Batum,Charlotte Hornets,SF,12/14/88,25565217
Kyrie Irving,Brooklyn Nets,PG,3/23/92,31742000
Jeremy Lamb,Indiana Pacers,SF,5/30/92,10500000
Donovan Mitchell,Utah Jazz,SG,9/7/96,3635760
Thanasis Antetokounmpo,Milwaukee Bucks,SF,7/18/92,1445697
James Johnson,Miami Heat,PF,2/20/87,15349400
Monte Morris,Denver Nuggets,PG,6/27/95,1588231
Terry Rozier,Charlotte Hornets,PG,3/17/94,19894737
DeAndre Jordan,Brooklyn Nets,C,7/21/88,9881598
Jae Crowder,Memphis Grizzlies,SF,7/6/90,7815533
Josh Gray,New Orleans Pelicans,PG,9/9/93,79568
Goga Bitadze,Indiana Pacers,C,7/20/99,2816760
Kobi Simmons,Charlotte Hornets,PG,7/4/97,79568
Derrick Favors,New Orleans Pelicans,C,7/15/91,17650000
Landry Shamet,Los Angeles Clippers,SG,3/13/97,1995120
Jalen McDaniels,Charlotte Hornets,PF,1/31/98,898310
Bruno Caboclo,Memphis Grizzlies,SF,9/21/95,1845301
Drew Eubanks,San Antonio Spurs,PF,2/1/97,79568
Raul Neto,Philadelphia 76ers,PG,5/19/92,1737145
Jalen Lecque,Phoenix Suns,G,6/13/00,898310
Giannis Antetokounmpo,Milwaukee Bucks,PF,12/6/94,25842697
Malik Monk,Charlotte Hornets,SG,2/4/98,4028400
Tacko Fall,Boston Celtics,C,12/10/95,79568
Justin Jackson,Dallas Mavericks,PF,3/28/95,3280920
Paul George,Los Angeles Clippers,SF,5/2/90,33005556
Jayson Tatum,Boston Celtics,PF,3/3/98,7830000
Admiral Schofield,Washington Wizards,SF,3/30/97,1000000
Louis King,Detroit Pistons,F,4/6/99,79568
Kostas Antetokounmpo,Los Angeles Lakers,PF,11/20/97,79568
Rodions Kurucs,Brooklyn Nets,PF,2/5/98,1699236
Spencer Dinwiddie,Brooklyn Nets,PG,4/6/93,10605600
Doug McDermott,Indiana Pacers,PF,1/3/92,7333333
Romeo Langford,Boston Celtics,SG,10/25/99,3458400
Caris LeVert,Brooklyn Nets,SF,8/25/94,2625717
Michael Kidd-Gilchrist,Charlotte Hornets,PF,9/26/93,13000000
LeBron James,Los Angeles Lakers,PF,12/30/84,37436858
Taj Gibson,New York Knicks,C,6/24/85,9000000
Ty Jerome,Phoenix Suns,G,7/8/97,2193480
Chris Clemons,Houston Rockets,SG,7/23/97,79568
Luke Kornet,Chicago Bulls,C,7/15/95,2250000
Trey Lyles,San Antonio Spurs,PF,11/5/95,5500000
Sterling Brown,Milwaukee Bucks,SF,2/10/95,1618520
Andre Iguodala,Memphis Grizzlies,SF,1/28/84,17185185
Vincent Poirier,Boston Celtics,C,10/17/93,2505793
Frank Ntilikina,New York Knicks,PG,7/28/98,4855800
Jordan McRae,Washington Wizards,PG,3/28/91,1645357
Enes Kanter,Boston Celtics,C,5/20/92,4767000
John Henson,Cleveland Cavaliers,C,12/28/90,9732396
Jaylen Brown,Boston Celtics,SF,10/24/96,6534829
Jonah Bolden,Philadelphia 76ers,PF,1/2/96,1698450
Chimezie Metu,San Antonio Spurs,PF,3/22/97,1416852
Tobias Harris,Philadelphia 76ers,PF,7/15/92,32742000
Semi Ojeleye,Boston Celtics,PF,12/5/94,1618520
Jevon Carter,Phoenix Suns,PG,9/14/95,1416852
Brandon Ingram,New Orleans Pelicans,PF,9/2/97,7265485
Moritz Wagner,Washington Wizards,C,4/26/97,2063520
Dorian Finney-Smith,Dallas Mavericks,PF,5/4/93,4000000
Danuel House,Houston Rockets,SF,6/7/93,3540000
Nicolo Melli,New Orleans Pelicans,C,1/26/91,4102564
Talen Horton-Tucker,Los Angeles Lakers,GF,11/25/00,898310
Ed Davis,Utah Jazz,C,6/5/89,4767000
Kyle Guy,Sacramento Kings,G,8/11/97,79568
Kadeem Allen,New York Knicks,PG,1/15/93,79568
Dante Exum,Utah Jazz,PG,7/13/95,9600000
Abdel Nader,Oklahoma City Thunder,SF,9/25/93,1618520
Bruno Fernando,Atlanta Hawks,C,8/15/98,1400000
Dion Waiters,Miami Heat,SG,12/10/91,12100000
Jared Dudley,Los Angeles Lakers,PF,7/10/85,2564753
Max Strus,Chicago Bulls,SG,3/28/96,79568
Kevon Looney,Golden State Warriors,C,2/6/96,4464286
Willy Hernangomez,Charlotte Hornets,C,5/27/94,1557250
Melvin Frazier,Orlando Magic,SG,8/30/96,1416852
Austin Rivers,Houston Rockets,PG,8/1/92,2174310
Harry Giles,Sacramento Kings,PF,4/22/98,2578800
Robin Lopez,Milwaukee Bucks,C,4/1/88,4767000
Collin Sexton,Cleveland Cavaliers,PG,1/4/99,4764960
Ricky Rubio,Phoenix Suns,PG,10/21/90,16200000
